Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,ZD-Mem2,2.2598628691983125,0.49912025316455694,118.0,0.5004219409282701,0.2503586497890295,0.24876160337552747,0.2513227848101267,0.24955696202531633,0.4998815593133059,0.49994445620435995,0.49886211406783176,0.4978214295620991
1,CollectiveStrategy,2.258154008438818,0.4994978902953586,118.0,0.5135021097046414,0.2508481012658228,0.24864978902953586,0.25130590717299583,0.2491962025316455,0.4970366487475319,0.5003559586584752,0.4979379991998404,0.502333725348066
2,Arrogant QLearner,2.2580379746835453,0.4990738396624473,121.0,0.49240506329113926,0.2503902953586498,0.24868354430379747,0.2501666666666667,0.25075949367088607,0.4987201650713062,0.4988182974382606,0.49816850013526237,0.5008132681555196
3,Second by Getzler,2.256603375527426,0.5000527426160337,118.5,0.5118143459915612,0.2506540084388187,0.24939873417721523,0.2506265822784809,0.24932067510548517,0.49733856593957193,0.5002149026580731,0.500944968859397,0.5014831838081248
4,Prober 2,2.256402953586498,0.5000210970464135,118.5,0.5063291139240507,0.2503670886075949,0.24965400843881846,0.2510084388185655,0.24897046413502116,0.49866456552982136,0.49771146780370407,0.5008934150896043,0.5026442644130849
5,TF2,2.2560864978902955,0.5003417721518988,113.0,0.49746835443037973,0.250223628691983,0.25011814345991557,0.24988607594936718,0.24977215189873417,0.500142449459307,0.5021304618202064,0.4990470629791736,0.5000777421852529
6,Retaliate 2: 0.08,2.2560443037974682,0.499084388185654,119.0,0.4940928270042194,0.2500801687763713,0.24900421940928263,0.2506645569620254,0.25025105485232063,0.49846885412290537,0.4995314243899975,0.5011270202193724,0.4972876120650855
7,PSO Gambler 2_2_2,2.2559599156118146,0.5006244725738397,114.5,0.4860759493670886,0.25109282700421937,0.24953164556962032,0.25015822784810127,0.2492172995780591,0.5015402817515288,0.5012014928958151,0.4994526676351187,0.5006477099943114
8,TF1,2.255907172995781,0.4997974683544304,116.5,0.510548523206751,0.25031012658227836,0.249487341772152,0.25026793248945134,0.2499345991561182,0.5006184935879184,0.5004510093809639,0.5001073044549992,0.4977289548399245
9,"EugineNier: (D,)",2.2558333333333342,0.4990210970464135,116.5,0.510548523206751,0.25067299578059077,0.24834810126582268,0.2503776371308017,0.2506012658227849,0.4984894207162797,0.4995123472443846,0.5001213380698359,0.4976827404657526
10,Tricky Defector,2.2557278481012664,0.49888818565400844,116.5,0.48818565400843883,0.24887130801687762,0.25001687763713093,0.2510379746835443,0.25007383966244723,0.4987423280435819,0.49826015466427764,0.5016355532306598,0.49712991358531833
11,"Limited Retaliate 3: 0.05, 20",2.2556223628691985,0.49973417721518987,117.0,0.5004219409282701,0.25010126582278475,0.24963291139240504,0.25103797468354444,0.2492278481012658,0.502812418903559,0.4995103419975587,0.4979540210203181,0.4985602221544033
12,UsuallyDefects,2.2556223628691985,0.50007805907173,116.0,0.48143459915611814,0.2506097046413503,0.24946835443037974,0.2503776371308017,0.2495443037974684,0.5014177951333221,0.5015775002995333,0.499497685291248,0.4984435674798941
13,Math Constant Hunter,2.2555379746835444,0.4991561181434599,117.0,0.5109704641350211,0.2500654008438819,0.2490907172995779,0.2510864978902954,0.2497573839662447,0.49940248438725515,0.4973683835149293,0.49990158256221673,0.4996969668207921
14,Evolved ANN 5,2.255316455696202,0.4985759493670886,114.5,0.49873417721518987,0.24932278481012643,0.24925316455696203,0.251305907172996,0.2501181434599155,0.49942938693343186,0.49961837781766266,0.4978979945407698,0.4972127549755104
15,"Grumpy: Nice, 10, -10",2.2552742616033754,0.4994831223628692,116.0,0.4751054852320675,0.24966666666666684,0.24981645569620248,0.2507995780590717,0.249717299578059,0.4997048753914986,0.49926091828075053,0.4996685256032826,0.4999587744453411
16,"ZD-Extort-4: 0.23529411764705882, 0.25, 1",2.2552531645569616,0.499548523206751,118.0,0.5075949367088608,0.24956329113924053,0.2499852320675105,0.25072573839662454,0.24972573839662443,0.4989479140244117,0.5002747657199975,0.49900488371791074,0.4998496145215581
17,Second by Mikkelson,2.2552004219409283,0.49946835443037974,118.0,0.48860759493670886,0.2504092827004219,0.2490590717299578,0.25084810126582285,0.24968354430379744,0.5000117135855703,0.49925339225549004,0.499669701422927,0.49935860468124166
18,Second by Tester,2.2549789029535865,0.4985801687763713,116.5,0.480168776371308,0.2492531645569621,0.24932700421940918,0.25077637130801694,0.2506434599156117,0.49779750701170383,0.49837840235592745,0.4992239880380096,0.49924798180702057
19,Second by Weiner,2.2549156118143454,0.4995759493670886,117.5,0.5181434599156118,0.2508227848101265,0.24875316455696206,0.2505464135021098,0.24987763713080174,0.4967537401237416,0.5004369287736534,0.5005351003703398,0.500241493883687
20,"Limited Retaliate: 0.1, 20",2.254736286919832,0.5008481012658228,113.5,0.5042194092827004,0.2510147679324895,0.24983333333333324,0.2501877637130802,0.24896413502109702,0.5007270514156293,0.4989466282324894,0.5031321300216895,0.5005681698814938
21,"Alexei: (D,)",2.2547151898734183,0.4995295358649789,116.0,0.4911392405063291,0.25037552742616037,0.24915400843881855,0.2503037974683545,0.2501666666666666,0.49832957668980427,0.5012989758872273,0.5004221838187295,0.49839522843940526
22,"General Soft Grudger: n=1,d=4,c=2",2.2546413502109695,0.4995738396624473,116.0,0.5054852320675105,0.2498143459915611,0.24975949367088604,0.25178691983122364,0.24863924050632918,0.5006587412058751,0.4975255727770556,0.4984735114779644,0.5015010934176656
